experiment,category,num_query_total,num_query_normal,num_query_defect,image_auroc,image_ap,accuracy,precision,recall,specificity,balanced_accuracy,f1,num_pred_positive,num_pred_negative,threshold
E0,bottle,79,20,59,0.985593220338983,0.9956026497412857,0.25316455696202533,0.0,0.0,1.0,0.5,0.0,0,79,1.0577278137207031
E0,cable,146,58,88,0.8203369905956113,0.8938253205961373,0.3972602739726027,0.0,0.0,1.0,0.5,0.0,0,146,1.0807746648788452
E0,capsule,128,23,105,0.6115942028985507,0.8784667248364896,0.1796875,0.0,0.0,1.0,0.5,0.0,0,128,1.1086524724960327
E0,carpet,113,28,85,0.5634453781512605,0.7703480136538052,0.24778761061946902,0.0,0.0,1.0,0.5,0.0,0,113,1.093521237373352
E0,grid,74,21,53,0.30278526504941605,0.6140079488022001,0.28378378378378377,0.0,0.0,1.0,0.5,0.0,0,74,1.0440162420272827
E0,hazelnut,106,40,66,0.6791666666666667,0.8145864533012953,0.6509433962264151,0.6629213483146067,0.8939393939393939,0.25,0.571969696969697,0.7612903225806451,89,17,0.1499403566122055
E0,leather,120,32,88,0.3728693181818182,0.6745862686429246,0.26666666666666666,0.0,0.0,1.0,0.5,0.0,0,120,1.0307152271270752
E0,metal_nut,111,22,89,0.6557711950970377,0.89725408048344,0.1981981981981982,0.0,0.0,1.0,0.5,0.0,0,111,1.0316667556762695
E0,pill,163,26,137,0.8284671532846716,0.9666396154010839,0.15950920245398773,0.0,0.0,1.0,0.5,0.0,0,163,1.0915218591690063
E0,screw,156,41,115,0.5073170731707317,0.7888743418210505,0.26282051282051283,0.0,0.0,1.0,0.5,0.0,0,156,1.0584276914596558
E0,tile,113,33,80,0.7363636363636363,0.8630839559547503,0.2920353982300885,0.0,0.0,1.0,0.5,0.0,0,113,1.05777907371521
E0,toothbrush,38,12,26,0.875,0.9434504303192013,0.3157894736842105,0.0,0.0,1.0,0.5,0.0,0,38,1.0765670537948608
E0,transistor,96,60,36,0.8351851851851853,0.818963101328114,0.625,0.0,0.0,1.0,0.5,0.0,0,96,1.063591718673706
E0,wood,75,19,56,0.6165413533834586,0.825285160585236,0.25333333333333335,0.0,0.0,1.0,0.5,0.0,0,75,1.0835942029953003
E0,zipper,147,32,115,0.8190217391304349,0.9397071283415761,0.21768707482993196,0.0,0.0,1.0,0.5,0.0,0,147,1.0312377214431763
promptad_ctx__clip_global,bottle,79,20,59,0.9008474576271187,0.968566025911843,0.6708860759493671,1.0,0.559322033898305,1.0,0.7796610169491525,0.717391304347826,33,46,1.0744340060779198
promptad_ctx__clip_global,cable,146,58,88,0.7641065830721003,0.8661247588721099,0.5205479452054794,1.0,0.20454545454545456,1.0,0.6022727272727273,0.339622641509434,18,128,1.3818398384658153
promptad_ctx__clip_global,capsule,128,23,105,0.6542443064182194,0.9040686265298069,0.765625,0.8205128205128205,0.9142857142857143,0.08695652173913043,0.5006211180124224,0.8648648648648648,117,11,-0.6837350714459312
promptad_ctx__clip_global,carpet,113,28,85,0.9773109243697479,0.9937094536699286,0.8938053097345132,1.0,0.8588235294117647,1.0,0.9294117647058824,0.9240506329113923,73,40,0.6313429061666036
promptad_ctx__clip_global,grid,74,21,53,0.7313566936208445,0.8615240199927122,0.4594594594594595,0.8823529411764706,0.2830188679245283,0.9047619047619048,0.5938903863432166,0.4285714285714286,17,57,0.6263960781669873
promptad_ctx__clip_global,hazelnut,106,40,66,0.9170454545454545,0.9595720769808974,0.839622641509434,0.9454545454545454,0.7878787878787878,0.925,0.856439393939394,0.8595041322314049,55,51,0.9063559102341597
promptad_ctx__clip_global,leather,120,32,88,0.9904119318181818,0.9973320158102766,0.9083333333333333,1.0,0.875,1.0,0.9375,0.9333333333333333,77,43,0.6253311097007773
promptad_ctx__clip_global,metal_nut,111,22,89,0.836567926455567,0.9570109985965796,0.8108108108108109,0.8148148148148148,0.9887640449438202,0.09090909090909091,0.5398365679264555,0.8934010152284264,108,3,-1.3562002972454428
promptad_ctx__clip_global,pill,163,26,137,0.7596855699045479,0.9431986113177151,0.3006134969325153,0.96,0.17518248175182483,0.9615384615384616,0.5683604716451431,0.29629629629629634,25,138,1.2920325889135196
promptad_ctx__clip_global,screw,156,41,115,0.623541887592789,0.7929892076065881,0.26282051282051283,0.0,0.0,1.0,0.5,0.0,0,156,1.8613906222420435
promptad_ctx__clip_global,tile,113,33,80,0.8306818181818182,0.936870222789193,0.7433628318584071,0.8923076923076924,0.725,0.7878787878787878,0.7564393939393939,0.8,65,48,0.8948026225091105
promptad_ctx__clip_global,toothbrush,38,12,26,0.8750000000000001,0.9503635973491368,0.7894736842105263,0.78125,0.9615384615384616,0.4166666666666667,0.6891025641025641,0.8620689655172413,32,6,-0.6312593246097127
promptad_ctx__clip_global,transistor,96,60,36,0.7782407407407408,0.7486090264466143,0.7604166666666666,0.6511627906976745,0.7777777777777778,0.75,0.7638888888888888,0.7088607594936709,43,53,0.07289488330802499
promptad_ctx__clip_global,wood,75,19,56,0.9765037593984962,0.9926987321886467,0.7466666666666667,0.7466666666666667,1.0,0.0,0.5,0.8549618320610688,75,0,-1.7155100065698883
promptad_ctx__clip_global,zipper,147,32,115,0.8057065217391305,0.9388721003367839,0.7074829931972789,0.9090909090909091,0.6956521739130435,0.75,0.7228260869565217,0.7881773399014779,88,59,0.8527061722613067
