category,num_query_total,num_query_normal,num_query_defect,image_auroc,image_ap,accuracy,precision,recall,specificity,balanced_accuracy,f1,num_pred_positive,num_pred_negative,tp,tn,fp,fn,threshold,method,feature_source,candidate_name,coreset_ratio,knn_topk,subspace_dim,pixel_auroc,pro,num_support_train,num_support_holdout,num_support_defect,feature_cache_dir,feature_cache_written,cache_seconds,support_threshold_source,experiment,scope,seed
bottle,79,20,59,1.0,1.0,0.8734177215189873,1.0,0.8305084745762712,1.0,0.9152542372881356,0.9074074074074074,49,30,49,20,0,10,0.2961202561855316,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9896624969132273,0.8971494850934552,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\bottle,0,0.09771895408630371,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
cable,146,58,88,0.9570924764890284,0.977170725282677,0.5821917808219178,1.0,0.3068181818181818,1.0,0.6534090909090909,0.46956521739130436,27,119,27,58,0,61,0.443010538816452,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9665558231859194,0.8413562687219793,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\cable,166,35.38501048088074,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
capsule,128,23,105,0.9697722567287784,0.9923398792106051,0.59375,1.0,0.5047619047619047,1.0,0.7523809523809524,0.6708860759493671,53,75,53,23,0,52,0.2671142816543579,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9855425921228939,0.7972238258473555,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\capsule,148,30.39614462852478,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
carpet,113,28,85,1.0,1.0,0.8230088495575221,1.0,0.7647058823529411,1.0,0.8823529411764706,0.8666666666666666,65,48,65,28,0,20,0.3730938732624054,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9902336355938349,0.9033172758081547,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\carpet,0,0.15974092483520508,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
grid,74,21,53,0.9982030548068284,0.9993138936535162,0.9459459459459459,1.0,0.9245283018867925,1.0,0.9622641509433962,0.9607843137254902,49,25,49,21,0,4,0.3725128471851349,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9906534596099499,0.9491561491164262,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\grid,0,0.11776971817016602,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
hazelnut,106,40,66,1.0,1.0,0.9716981132075472,1.0,0.9545454545454546,1.0,0.9772727272727273,0.9767441860465117,63,43,63,40,0,3,0.3040136694908142,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9957195036479708,0.916402504611519,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\hazelnut,126,24.68433904647827,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
leather,120,32,88,1.0,1.0,0.9666666666666667,1.0,0.9545454545454546,1.0,0.9772727272727273,0.9767441860465117,84,36,84,32,0,4,0.3102274537086487,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9914141699538176,0.9526458049869068,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\leather,0,0.15526556968688965,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
metal_nut,111,22,89,1.0,1.0,0.7927927927927928,1.0,0.7415730337078652,1.0,0.8707865168539326,0.8516129032258065,66,45,66,22,0,23,0.31771621108055115,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9737868034785814,0.9224928480072399,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\metal_nut,131,15.950915813446045,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
pill,163,26,137,0.9719258843346434,0.9946285571611382,0.7177914110429447,1.0,0.6642335766423357,1.0,0.8321167883211679,0.7982456140350876,91,72,91,26,0,46,0.26414722204208374,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9680513195441961,0.9275245710408463,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\pill,183,26.967798709869385,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
screw,156,41,115,0.7790031813361612,0.8763481229005297,0.6153846153846154,0.8985507246376812,0.5391304347826087,0.8292682926829268,0.6841993637327677,0.6739130434782609,69,87,62,34,7,53,0.21896548569202423,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9415921885066539,0.8047471593367448,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\screw,0,0.21062827110290527,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
tile,113,33,80,1.0,1.0,0.9646017699115044,1.0,0.95,1.0,0.975,0.9743589743589743,76,37,76,33,0,4,0.25241848826408386,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9516959394984661,0.8288471783153994,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\tile,133,21.784003973007202,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
toothbrush,38,12,26,0.9935897435897436,0.9970962086346701,0.8157894736842105,1.0,0.7307692307692307,1.0,0.8653846153846154,0.8444444444444443,19,19,19,12,0,7,0.3565608263015747,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9923191057411525,0.9207562578318309,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\toothbrush,58,11.414013624191284,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
transistor,96,60,36,0.9532407407407407,0.9203331754247922,0.8645833333333334,0.8484848484848485,0.7777777777777778,0.9166666666666666,0.8472222222222222,0.8115942028985507,33,63,28,55,5,8,0.20126385986804962,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9229554828778322,0.6725431547475965,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\transistor,116,23.892099380493164,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
wood,75,19,56,0.9887218045112782,0.9965195364979849,0.8666666666666667,1.0,0.8214285714285714,1.0,0.9107142857142857,0.9019607843137255,46,29,46,19,0,10,0.3436654508113861,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9470514702350811,0.9284770797457621,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\wood,95,19.95433473587036,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
zipper,147,32,115,0.997554347826087,0.9993150490620639,0.8775510204081632,1.0,0.8434782608695652,1.0,0.9217391304347826,0.9150943396226415,97,50,97,32,0,18,0.19684432446956635,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9369448120338812,0.7514838650154411,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\zipper,0,0.1665489673614502,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,42
